Data structure name	Dataset name	Point count	Rect area	Single query time	Avg. points found
QuadTree2	set_6	10000	0.0001	0.00021876394748687744	36
QuadTree2	set_6	10000	1e-06	9.375810623168945e-05	3
QuadTree2	set_6	100000	1	0.04095546901226044	37743
QuadTree2	set_6	100000	0.1	0.02320445328950882	11470
QuadTree2	set_6	100000	0.01	0.009547419846057892	3574
QuadTree2	set_6	100000	0.0001	0.0014375858008861542	356
QuadTree2	set_6	100000	1e-06	0.00039064884185791016	35
QuadTree2	set_6	1000000	1	0.3644583448767662	379028
QuadTree2	set_6	1000000	0.1	0.22512225061655045	111403
QuadTree2	set_6	1000000	0.01	0.09200526401400566	35381
QuadTree2	set_6	1000000	0.0001	0.015188366174697876	3486
QuadTree2	set_6	1000000	1e-06	0.0025626495480537415	361
